branch	head_sha
behavioral-commutation-v0	e83b6d8faa784d6f6b8e562b0c6045e0db3f46f0
blind-causal-repair-v1	8c89ddc2d99f50b282e3b6b68d2c2c57a3ce07f4
blind-future-quotient-v0	0b7d8a76fbabf8a32cd6f5e339079d78766dbb89
causal-linearization-invariance-v0	026d7b3879759c4acfc76921075a1be52aaa6925
causal-repair-cover-v0	f623077b39c09fd2b156165a4885539b4677da70
causal-trace-quotient-v0	48095b06ab27f88f7cda01db9e4a3c81ef69c522
clc-developmental-relation-v0	37774484308a639cc9536d51be602fe9d71884e4
clc-fixedpoint-reflection-v0	8ccfa79761c116061c944e930a1a4874f9aeb031
clc-monoidal-deep-present-v0	94f983273ed04b3563bedb45b756293b6dbdb6b0
clc-port-event-structure-v0	20844ab1c68b8c4f9d6528a191eb136c0bdce791
clc-proof-relevant-oplax-v0	ff74dd82b0962ae995730b3f7534219e4e6c783b
clc-wired-pomset-v0	17144fba460cac8343075bc21ad4a7a75be1c24b
consolidated/current-v1	350c9c7ec9327037c1fef0f17df20de08be399f1
consolidated/current-v2	9eaedbdcdad03abe0fba63e71dcfbb73d10d8fd2
constructor-genesis-v0	bae1d1a527a555e70556f7a4aba705d38eff4973
earned-commutation-basis-v0	10415ae31a9992d34dbea03683b204ad2a0f8002
embedded-observer-ontology-v0	0f7c4df44f093f5d3b33b5a87f286cf6e9460cb1
finite-poset-toposort-connectivity-v0	ef31fecc0f00b0eebdf48522c2e7ef42e676d1b7
future-observations-galois-v0	644cab24382c5588084f5e86346ab768932c3236
grammar-shape-genesis-v0	377d5c863a981c0ee9cd1eb1d594ca8ff20b7aa9
language-genesis-v0	644a8e29d4cb3e748b2cf0c2caeb4729b2291e8b
main	0f7c4df44f093f5d3b33b5a87f286cf6e9460cb1
metatron-constitutional-closure-v1	f7b27b69b78fdc5b7a4e176dc649239f5f6b1aa0
metatron-g14-pprod-replication-v0	929b74872d7fbdf99d0ed39e5feccaf5b51606c2
metatron-lkc-8lane-v1	a001349c2be90a95227953cece87a22569aa01b7
metatron-lkc-controller-v1	3c52add4d608c753104208d14424af5b871686d6
metatron-lkc-controller-v2	c245dfdab200cce30d4c84d7fc8b36a2fe9ac4bd
metatron-lkc-eight-lane-v1	a26e9f0c69541ce51120de3d9291d447be64fade
metatron-lkc-frontier-v0	3bb0d1cae462014480168a600e1bea58b0d74de4
metatron-minimal-warrant-graph-v0	c14b74929e64f6c819d320698079147356480b16
metatron-v0	cf6f0833013d743eefe4f304cd6a03e96f558b3d
metatron-v1-integration	ead37ca851e421128119cb0877d411b755d59c82
nebula-ignition-v0	5e9de066eb44b1dafcfba0154c3db18182abdf7a
novel-capability-genesis-v0	3173a39b5be29214f67eb843462ba5df9026de37
nucleus-genesis-v0	a0ef2cbf5269cf9ac7a0febea4c6fcc75bf54aca
residual-driven-interface-v0	b650b41b4747efb59f70411dce7c195024b47d70
residual-synergy-falsifier-v0	52b720a3ecaf3b3f88595b402c785fd9c5308e5e
separating-hypergraph-blind-v3	b2dc8d1599add03bf6e6d0a3cd6aa4555257512b
separating-hypergraph-heldout-v1	ce2379e0ab912061b26af8ce830b514287d4bb8b
separating-hypergraph-prospective-v2	81bb393af83b81032409e01e043c1758b41910d4
separating-obstruction-hypergraph-v0	564945e31263258ef61fb768e8f1e9a8210e4bda
spectral-obstruction-diagnostic-v0	4fb939927dedeb268605f7abd566ad10e95fbc88
